english	category	sub_category
Gain great Smithing XP.	manual	quest
Lair of Tarn Razorlor	manual	quest
Lair of Tarn Razorlor	manual	quest
Gain an enchanted Salve Amulet.	manual	quest
Legends' Quest	manual	quest
Legends' Quest	manual	quest
Gain access to the Legend's Guild.	manual	quest
Lost City	manual	quest
Lost City	manual	quest
Gain access to Zanaris.	manual	quest
Lost Tribe, The	manual	quest
The Lost Tribe	manual	quest
Gain access to the Bone Weapon Shop.	manual	quest
Lunar Diplomacy	manual	quest
Lunar Diplomacy	manual	quest
Learn how to cast Lunar spells.	manual	quest
Mage Arena I	manual	quest
Mage Arena I	manual	quest
Unlock the God spells.	manual	quest
Mage Arena II	manual	quest
Mage Arena II	manual	quest
Learn how to imbue the God Capes.	manual	quest
Making Friends with My Arm	manual	quest
Making Friends with My Arm	manual	quest
Gain great XP and a disease-free herb patch.	manual	quest
Making History	manual	quest
Making History	manual	quest
Help Jorral restore a historic location.	manual	quest
Merlin's Crystal	manual	quest
Merlin's Crystal	manual	quest
Assist King Arthur in Camelot.	manual	quest
Misthalin Mystery	manual	quest
Misthalin Mystery	manual	quest
Monkey Madness I	manual	quest
Monkey Madness I	manual	quest
Learn how to wield Dragon Scimitars.	manual	quest
Monkey Madness II	manual	quest
Monkey Madness II	manual	quest
Gain great XP and a Royal Seed Pod.	manual	quest
Monk's Friend	manual	quest
Monk's Friend	manual	quest
Gain early game Woodcutting XP.	manual	quest
Mountain Daughter	manual	quest
Mountain Daughter	manual	quest
Help the people of the Mountain Tribe.	manual	quest
Mourning's End Part I	manual	quest
Mourning's End Part I	manual	quest
Gain great Hitpoint and Thieving XP.	manual	quest
Mourning's End Part II	manual	quest
Mourning's End Part II	manual	quest
Learn how to craft Death Runes.	manual	quest
Murder Mystery	manual	quest
Murder Mystery	manual	quest
Investigate a murder at Sinclair Mansion.	manual	quest
My Arm's Big Adventure	manual	quest
My Arm's Big Adventure	manual	quest
Gain access to a disease-free herb patch.	manual	quest
Nature Spirit	manual	quest
Nature Spirit	manual	quest
Gain access to Mort Myre and the Nature Altar.	manual	quest
Night at the Theatre, A	manual	quest
A Night at the Theatre	manual	quest
Experience the Theatre of Blood.	manual	quest
Observatory Quest	manual	quest
Observatory Quest	manual	quest
Gain an Unholy Symbol Mould.	manual	quest
Olaf's Quest	manual	quest
Olaf's Quest	manual	quest
Gain access to the Brine Rat Cavern.	manual	quest
One Small Favour	manual	quest
One Small Favour	manual	quest
Learn how to brew Guthix Rest Tea.	manual	quest
Pirate's Treasure	manual	quest
Pirate's Treasure	manual	quest
Explore a story about buried treasure.	manual	quest
Plague City	manual	quest
Plague City	manual	quest
Unlock the Ardougne teleport spell.	manual	quest
Porcine of Interest, A	manual	quest
A Porcine of Interest	manual	quest
Learn how to hunt Slayer monsters.	manual	quest
Priest in Peril	manual	quest
Priest in Peril	manual	quest
Gain access to Morytania.	manual	quest
Prince Ali Rescue	manual	quest
Prince Ali Rescue	manual	quest
Unlock Sorceress's Garden and gain free use of the Al Kharid Gate.	manual	quest
Queen of Thieves, The	manual	quest
The Queen of Thieves	manual	quest
Gain the Port Piscarilius Memoirs teleport.	manual	quest
Rag and Bone Man I	manual	quest
Rag and Bone Man I	manual	quest
Assist the Odd Old Man with a collection.	manual	quest
Rag and Bone Man II	manual	quest
Rag and Bone Man II	manual	quest
Further assist the Odd Old Man with a collection.	manual	quest
Ratcatchers	manual	quest
Ratcatchers	manual	quest
Learn new cat training methods.	manual	quest
Recipe for Disaster	manual	quest
Recipe for Disaster	manual	quest
Recruitment Drive	manual	quest
Recruitment Drive	manual	quest
Gain a set of Initiate Armour.	manual	quest
Regicide	manual	quest
Regicide	manual	quest
Gain access to Zulrah's Shrine.	manual	quest
Restless Ghost, The	manual	quest
The Restless Ghost	manual	quest
Gain a Ghostspeak Amulet.	manual	quest
Romeo & Juliet	manual	quest
Romeo & Juliet	manual	quest
Gain Quest Points.	manual	quest
Roving Elves	manual	quest
Roving Elves	manual	quest
Gain a Crystal Shield or Bow.	manual	quest
Royal Trouble	manual	quest
Royal Trouble	manual	quest
Gain enhanced rewards from Miscellenia.	manual	quest
Rum Deal	manual	quest
Rum Deal	manual	quest
Gain a Holy Wrench.	manual	quest
Rune Mysteries	manual	quest
Rune Mysteries	manual	quest
Learn how to mine Rune Essence.	manual	quest
Scorpion Catcher	manual	quest
Scorpion Catcher	manual	quest
Help Thormac with a scorpion problem.	manual	quest
Sea Slug	manual	quest
Sea Slug	manual	quest
Gain access to the Fishing Platform.	manual	quest
Shades of Mort'ton	manual	quest
Shades of Mort'ton	manual	quest
Gain access to the Shades of Mort'ton minigame.	manual	quest
Shadow of the Storm	manual	quest
Shadow of the Storm	manual	quest
Assist Father Reen against an evil in the desert.	manual	quest
Sheep Herder	manual	quest
Sheep Herder	manual	quest
Assist Councillor Halgrive with some sheep.	manual	quest
Sheep Shearer	manual	quest
Sheep Shearer	manual	quest
Gain early game Crafting XP.	manual	quest
Shield of Arrav	manual	quest
Shield of Arrav	manual	quest
Investigate the whereabouts of the Shield of Arrav.	manual	quest
Shilo Village	manual	quest
Shilo Village	manual	quest
Gain access to Shilo Village.	manual	quest
Sins of the Father	manual	quest
Sins of the Father	manual	quest
Gain access to Darkmeyer.	manual	quest
Skippy and the Mogres	manual	quest
Skippy and the Mogres	manual	quest
Learn how to fight Mogres.	manual	quest
Slug Menace, The	manual	quest
The Slug Menace	manual	quest
Learn how to equip Proselyte Armour.	manual	quest
Song of the Elves	manual	quest
Song of the Elves	manual	quest
Gain access to Prifddinas.	manual	quest
Soul's Bane, A	manual	quest
A Soul's Bane	manual	quest
Help Launa find her family.	manual	quest
Spirits of the Elid	manual	quest
Spirits of the Elid	manual	quest
Gain access to Nardah's fountain and shrine.	manual	quest
Swan Song	manual	quest
Swan Song	manual	quest
Learn how to catch Monkfish.	manual	quest
Tai Bwo Wannai Trio	manual	quest
Tai Bwo Wannai Trio	manual	quest
Learn how to catch and cook Karambwan.	manual	quest
Tail of Two Cats, A	manual	quest
A Tail of Two Cats	manual	quest
Tale of the Righteous	manual	quest
Tale of the Righteous	manual	quest
Gain the Shayzien Memoirs teleport.	manual	quest
Taste of Hope, A	manual	quest
A Taste of Hope	manual	quest
Gain Drakan's Medallion.	manual	quest
Tears of Guthix	manual	quest
Tears of Guthix	manual	quest
Gain access to the Tears of Guthix minigame.	manual	quest
Temple of Ikov	manual	quest
Temple of Ikov	manual	quest
Throne of Miscellania	manual	quest
Throne of Miscellania	manual	quest
Learn how to manage the Kingdom of Miscellania.	manual	quest
Tourist Trap, The	manual	quest
The Tourist Trap	manual	quest
Learn how to smith Darts.	manual	quest
Tower of Life	manual	quest
Tower of Life	manual	quest
Gain access to the Creature Creation minigame.	manual	quest
Tree Gnome Village	manual	quest
Tree Gnome Village	manual	quest
Gain access to Spirit Tree teleportation.	manual	quest
Tribal Totem	manual	quest
Tribal Totem	manual	quest
Troll Romance	manual	quest
Troll Romance	manual	quest
Gain a Sled.	manual	quest
Troll Stronghold	manual	quest
Troll Stronghold	manual	quest
Gain access to the God Wars Dungeon.	manual	quest
Underground Pass	manual	quest
Underground Pass	manual	quest
Gain Iban's Staff.	manual	quest
Vampyre Slayer	manual	quest
Vampyre Slayer	manual	quest
Help the people of Draynor Village with a vampyre problem.	manual	quest
Wanted!	manual	quest
Wanted!	manual	quest
Gain access to the White Knight Armoury.	manual	quest
Watchtower	manual	quest
Watchtower	manual	quest
Unlock the Watchtower teleport spell.	manual	quest
Waterfall Quest	manual	quest
Waterfall Quest	manual	quest
Gain great combat XP.	manual	quest
What Lies Below	manual	quest
What Lies Below	manual	quest
Learn a shortcut to the Chaos Altar.	manual	quest
Witch's House	manual	quest
Witch's House	manual	quest
Witch's Potion	manual	quest
Witch's Potion	manual	quest
Gain early game Magic XP.	manual	quest
X Marks the Spot	manual	quest
X Marks the Spot	manual	quest
Learn about Clue Scrolls and Kourend.	manual	quest
Zogre Flesh Eaters	manual	quest
Zogre Flesh Eaters	manual	quest
Learn how to make Relicym's Balm.	manual	quest
Frozen Door, The	manual	quest
The Frozen Door	manual	quest
Gain access to Nex in the God Wars Dungeon.	manual	quest
Land of the Goblins	manual	quest
Land of the Goblins	manual	quest
Continue the Dorgeshuun storyline.	manual	quest
Hopespear's Will	manual	quest
Hopespear's Will	manual	quest
Gain great Prayer XP.	manual	quest
Temple of the Eye	manual	quest
Temple of the Eye	manual	quest
Gain access to the Guardians of the Rift minigame.	manual	quest
Beneath Cursed Sands	manual	quest
Beneath Cursed Sands	manual	quest
Gain access to the Tombs of Amascut.	manual	quest
Sleeping Giants	manual	quest
Sleeping Giants	manual	quest
Gain access to the Giants' Foundry.	manual	quest
Garden of Death, The	manual	quest
The Garden of Death	manual	quest
Uncover the fate of the Old Ones.	manual	quest
Into the Tombs	manual	quest
Into the Tombs	manual	quest
Experience the Tombs of Amascut.	manual	quest
Recipe for Disaster Another Cook's Quest	manual	quest
Recipe for Disaster - Another Cook's Quest	manual	quest
Gain access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Dwarf	manual	quest
Recipe for Disaster - Mountain Dwarf	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Goblins	manual	quest
Recipe for Disaster - Wartface & Bentnoze	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Pirate	manual	quest
Recipe for Disaster - Pirate Pete	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Lumbridge Guide	manual	quest
Recipe for Disaster - Lumbridge Guide	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Dave	manual	quest
Recipe for Disaster - Evil Dave	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Uglogwee	manual	quest
Recipe for Disaster - Skrach Uglogwee	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Amik Varze	manual	quest
Recipe for Disaster - Sir Amik Varze	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Awowogei	manual	quest
Recipe for Disaster - King Awowogei	manual	quest
Gain further access to the Culinaromancer's Chest.	manual	quest
Recipe for Disaster Culinaromancer	manual	quest
Recipe for Disaster - Culinaromancer	manual	quest
Complete the storyline and unlock the Barrows Gloves.	manual	quest
Secrets of the North	manual	quest
Secrets of the North	manual	quest
Uncover the Secrets of the North and unlock a new boss.	manual	quest
Desert Treasure II - The Fallen Empire	manual	quest
Desert Treasure II - The Fallen Empire	manual	quest
Uncover the history of the Fallen Empire and unlock four new bosses.	manual	quest
His Faithful Servants	manual	quest
His Faithful Servants	manual	quest
Take on the Barrows Brothers.	manual	quest
Path of Glouphrie, The	manual	quest
The Path of Glouphrie	manual	quest
Unlock the Poison Waste Dungeon.	manual	quest
Children of the Sun	manual	quest
Children of the Sun	manual	quest
Gain access to the Kingdom of Varlamore.	manual	quest
Barbarian Training	manual	quest
Barbarian Training	manual	quest
Unlock the strength of a Barbarian.	manual	quest
Defender of Varrock	manual	quest
Defender of Varrock	manual	quest
Defend Varrock from a zombie invasion.	manual	quest
While Guthix Sleeps	manual	quest
While Guthix Sleeps	manual	quest
Stop a deadly Mahjarrat from finding an artefact of incomprehensible power.	manual	quest
Twilight's Promise	manual	quest
Twilight's Promise	manual	quest
Take your first steps into Varlamore and unlock the Quetzal Transport System.	manual	quest
At First Light	manual	quest
At First Light	manual	quest
Learn about the role of the Hunter Guild and unlock higher tier rumours.	manual	quest
Perlious Moons	manual	quest
Perilous Moons	manual	quest
Explore an ancient ruin and unlock the Moons of Peril.	manual	quest
Ribbiting Tale of a Lily Pad Labour Dispute, The	manual	quest
The Ribbiting Tale of a Lily Pad Labour Dispute	manual	quest
Solve a ribbiting dispute and gain access to a new Hardwood Farming Patch.
